dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/09/04 08:00:00+00,6,573,0,9,163,18512,2,433,169,19085,2,442,48a05dfd-8481-4535-ac86-2fb7a61119b4,190
2020/09/05 08:00:00+00,5,578,0,9,141,18653,1,434,146,19231,1,443,02d9ba3e-e8d6-4d60-b485-9140d5b05c1d,191
2020/09/06 08:00:00+00,4,582,0,9,62,18715,1,435,66,19297,1,444,2bf4b8a5-97b0-48af-8ddf-710c60ef2028,192
2020/09/07 08:00:00+00,7,589,0,9,69,18784,3,438,76,19373,3,447,9d0846c0-4d6f-4a87-aa94-a8d01934c943,193
2020/09/08 08:00:00+00,2,591,0,9,59,18843,2,440,61,19434,2,449,dc74f5c3-3613-4571-9cfc-8c813d41890a,194
2020/09/09 08:00:00+00,16,607,0,9,98,18941,3,443,114,19548,3,452,135a2f64-e244-48d8-bebb-8aacaa22cf43,195
2020/09/10 08:00:00+00,17,624,0,9,126,19067,3,446,143,19691,3,455,21db7eb4-6efb-4830-9860-264207592a96,196
2020/09/11 08:00:00+00,5,629,0,9,83,19150,2,448,88,19779,2,457,d5d10050-8b9a-4fff-959f-4dbcd849e7b3,197
2020/09/12 08:00:00+00,1,630,0,9,69,19219,1,449,70,19849,1,458,af8d11ab-44de-4e74-afa3-20e1db488197,198
2020/09/13 08:00:00+00,7,637,0,9,51,19270,4,453,58,19907,4,462,712c32ae-fa2d-46e0-a304-301fead5ec33,199
2020/09/14 08:00:00+00,4,641,0,9,54,19324,0,453,58,19965,0,462,34ddc60d-1b90-4ea0-9acb-db4ee994354c,200
2020/09/15 08:00:00+00,6,647,0,9,78,19402,1,454,84,20049,1,463,8fa43ad8-bf44-41ba-8ed3-730310515635,201
2020/09/16 08:00:00+00,2,649,0,9,120,19522,2,456,122,20171,2,465,5ec279ad-5db3-4d1a-bbaf-33eaf466103d,202
2020/09/17 08:00:00+00,4,653,0,9,100,19622,2,458,104,20275,2,467,eb6ee7ab-835d-451a-996f-30fce4de09e9,203
2020/09/18 08:00:00+00,6,659,0,9,100,19722,1,459,106,20381,1,468,1e91fb03-5f5d-412b-b3d4-aff0937ba5f0,204
